Киев	Київ
Монастыриска	Монастириська
Моршин	Моршин
Чуднов	Чуднів
Зализное (город)	Торецьк
Шумск	Шумськ
Рудки	Рудки
Вашковцы	Вашківці
Дружба	Дружба
Миусинск	Міусинськ
Святогорск	Святогірськ
Добромиль	Добромиль
Алмазная	Алмазна
Вижница	Вижниця
Новый Калинов	Новий Калинів
Хыров	Хирів
Скалат	Скалат
Комарно	Комарно
Бобрка	Бібрка
Глиняны	Глиняни
Подгайцы	Підгайці
Батурин	Батурин
Белз	Белз
Устилуг	Устилуг
Герца	Герца
Берестечко	Берестечко
Угнев	Угнів
Чернобыль	Чорнобиль
Припять	Прип’ять
